study_hours,attendance_percentage,assignment_score,previous_exam_score,sleep_hours,class_participation,final_exam_score
24,91,76.0,66,7,86.4,69
26,75,72.0,70,5,71.2,68
24,98,78.8,66,8,93.1,71
11,93,93.6,94,9,88.4,69
16,94,83.2,76,7,89.3,67
19,67,85.6,98,8,63.6,64
20,71,68.0,66,9,67.4,63
24,71,59.6,52,6,67.4,66
21,71,62.6,57,8,67.4,66
12,94,74.2,61,6,89.3,69
22,61,73.6,82,6,58.0,64
24,63,60.6,59,8,59.8,62
23,71,69.8,69,7,67.4,66
26,68,81.2,90,8,64.6,70
25,69,61.2,56,7,65.6,67
23,92,69.2,54,8,87.4,68
20,83,79.4,77,9,78.8,67
10,60,75.0,85,9,57.0,62
23,77,88.4,96,8,73.1,67
21,76,80.2,83,8,72.2,68
22,65,84.2,97,7,61.8,64
12,87,72.0,62,7,82.6,64
14,88,75.4,67,8,83.6,66
26,89,90.8,92,7,84.6,72
20,89,90.2,91,8,84.6,72
24,60,73.8,83,9,57.0,66
20,98,84.2,75,7,93.1,72
20,93,67.8,51,4,88.4,69
26,96,76.8,64,10,91.2,72
17,61,59.2,58,6,58.0,60
21,97,70.6,53,7,92.1,69
17,92,90.2,89,8,87.4,68
17,93,71.4,57,9,88.4,69
18,64,66.4,68,10,60.8,62
21,90,95.4,99,6,85.5,71
17,98,81.2,70,9,93.1,70
28,87,69.0,57,7,82.6,68
15,83,83.6,84,10,78.8,68
19,98,93.2,90,9,93.1,70
17,78,69.6,64,7,74.1,65
29,84,87.6,90,6,79.8,73
21,79,70.0,64,4,75.0,66
26,97,89.8,85,8,92.1,71
11,63,58.8,56,9,59.8,62
22,80,74.6,71,8,76.0,68
25,87,80.4,76,4,82.6,70
20,92,88.4,86,5,87.4,68
26,83,83.0,83,8,78.8,71
17,96,94.2,93,10,91.2,70
28,98,74.6,59,7,93.1,72
34,63,75.0,83,9,59.8,69
18,76,64.0,56,5,72.2,63
17,61,68.8,74,7,58.0,62
29,73,74.8,76,7,69.4,68
29,81,63.0,51,9,77.0,70
17,96,70.8,54,6,91.2,69
17,94,92.8,92,10,89.3,68
18,65,64.4,64,7,61.8,65
12,64,65.8,67,5,60.8,59
14,84,82.8,82,5,79.8,66
14,81,69.0,61,6,77.0,64
15,71,64.4,60,8,67.4,63
20,96,81.0,71,6,91.2,72
21,97,70.6,53,6,92.1,67
29,76,88.0,96,8,72.2,94
14,96,96.6,97,4,91.2,70
26,75,73.2,72,6,71.2,66
19,89,71.6,60,5,84.6,69
20,79,76.0,74,6,75.0,64
24,65,59.0,55,7,61.8,63
13,97,80.8,70,7,92.1,71
22,78,63.6,54,7,74.1,65
21,89,86.6,85,9,84.6,68
23,75,68.4,64,7,71.2,64
22,61,70.0,76,10,58.0,64
35,64,56.2,51,8,60.8,66
16,80,77.6,76,6,76.0,68
17,88,65.2,50,10,83.6,67
16,73,86.8,96,7,69.4,66
17,88,80.2,75,10,83.6,68
16,88,68.2,55,7,83.6,66
27,88,75.4,67,7,83.6,71
29,80,63.2,52,8,76.0,71
17,97,85.0,77,7,92.1,68
15,80,65.6,56,9,76.0,64
23,78,75.6,74,10,74.1,67
17,68,66.2,65,4,64.6,64
24,72,81.6,88,8,68.4,68
21,62,69.2,74,6,58.9,62
11,85,89.2,92,4,80.8,64
29,70,86.2,97,8,66.5,70
31,72,87.6,98,8,68.4,68
16,91,74.2,63,8,86.4,69
18,73,82.0,88,8,69.4,65
22,70,71.2,72,8,66.5,67
22,67,69.4,71,6,63.6,65
24,91,92.2,93,7,86.4,71
32,65,60.2,57,8,61.8,65
19,78,75.6,74,9,74.1,66
15,80,80.0,80,7,76.0,65
12,87,66.6,53,7,82.6,65
16,85,89.8,93,7,80.8,68
20,92,76.4,66,5,87.4,68
31,62,74.6,83,8,58.9,67
17,72,86.4,96,5,68.4,65
21,71,80.0,86,8,67.4,66
20,66,82.8,94,7,62.7,63
27,72,60.6,53,5,68.4,70
35,72,73.8,75,5,68.4,72
17,81,79.2,78,6,77.0,67
17,87,85.2,84,6,82.6,67
26,75,63.6,56,9,71.2,66
24,89,85.4,83,7,84.6,66
31,73,63.4,57,8,69.4,69
24,72,60.6,53,9,68.4,62
18,82,76.6,73,9,77.9,66
24,61,72.4,80,7,58.0,64
27,63,84.0,98,6,59.8,67
25,77,81.8,85,8,73.1,71
23,98,87.2,80,6,93.1,73
26,89,72.2,61,10,84.6,68
27,64,60.4,58,8,60.8,66
28,94,85.6,80,7,89.3,75
24,89,72.2,61,8,84.6,72
19,84,84.6,85,7,79.8,68
21,93,70.8,56,6,88.4,68
27,76,70.6,67,8,72.2,69
15,69,81.0,89,7,65.6,63
22,80,87.2,92,10,76.0,70
18,82,73.0,67,6,77.9,66
20,82,68.8,60,8,77.9,66
28,83,92.0,98,6,78.8,72
21,98,92.0,88,6,93.1,71
20,96,92.4,90,4,91.2,72
12,95,74.6,61,8,90.2,69
24,92,79.4,71,6,87.4,71
24,98,71.0,53,9,93.1,69
33,64,58.6,55,8,60.8,68
18,71,65.0,61,7,67.4,61
21,80,71.0,65,5,76.0,68
21,94,97.6,100,8,89.3,72
29,80,74.6,71,6,76.0,70
19,90,87.0,85,5,85.5,73
22,66,83.4,95,8,62.7,67
24,70,65.2,62,5,66.5,65
21,89,69.8,57,4,84.6,68
17,67,64.0,62,9,63.6,65
21,74,86.0,94,6,70.3,97
26,71,78.2,83,4,67.4,66
14,74,73.4,73,6,70.3,67
21,88,89.8,91,6,83.6,70
16,75,67.2,62,9,71.2,66
27,82,70.0,62,5,77.9,69
11,64,72.4,78,5,60.8,62
17,92,90.8,90,8,87.4,68
22,75,67.8,63,6,71.2,67
29,86,71.0,61,7,81.7,68
20,89,80.0,74,6,84.6,69
17,68,61.4,57,10,64.6,62
31,95,90.2,87,5,90.2,75
11,85,81.4,79,7,80.8,65
7,77,76.4,76,9,73.1,63
23,67,83.2,94,6,63.6,66
17,98,91.4,87,6,93.1,71
14,90,70.2,57,8,85.5,66
24,68,69.8,71,9,64.6,66
21,74,69.2,66,6,70.3,66
17,92,90.8,90,9,87.4,71
12,88,86.8,86,7,83.6,68
25,91,80.8,74,8,86.4,71
24,78,85.8,91,9,74.1,68
19,89,78.2,71,8,84.6,68
31,75,84.0,90,7,71.2,68
14,68,58.4,52,6,64.6,62
11,85,68.2,57,10,80.8,65
16,99,92.4,88,6,94.0,71
20,72,62.4,56,7,68.4,63
21,78,81.6,84,8,74.1,68
19,87,86.4,86,8,82.6,69
22,82,82.6,83,10,77.9,69
12,94,92.2,91,7,89.3,71
29,90,81.6,76,7,85.5,71
20,62,81.8,95,9,58.9,62
27,100,86.8,78,7,95.0,70
22,90,81.0,75,8,85.5,70
23,95,83.0,75,7,90.2,73
23,86,92.0,96,8,81.7,71
23,94,74.8,62,8,89.3,69
24,64,76.6,85,6,60.8,66
28,74,66.8,62,4,70.3,65
21,95,71.0,55,4,90.2,71
24,68,86.0,98,4,64.6,68
19,63,58.8,56,7,59.8,64
29,92,87.2,84,4,87.4,71
16,93,79.8,71,7,88.4,67
31,67,82.0,92,7,63.6,66
20,94,91.0,89,8,89.3,71
11,87,69.0,57,8,82.6,62
21,81,76.2,73,8,77.0,67
16,93,67.8,51,8,88.4,67
25,77,73.4,71,7,73.1,66
16,68,78.2,85,7,64.6,64
17,71,65.6,62,6,67.4,62
9,80,86.6,91,7,76.0,65
17,81,64.2,53,5,77.0,63
5,92,68.0,52,9,87.4,64
10,92,67.4,51,6,87.4,65
25,83,71.6,64,7,78.8,68
25,91,80.2,73,7,86.4,72
23,68,60.2,55,9,64.6,64
14,62,84.8,100,4,58.9,62
20,95,98.0,100,7,90.2,69
20,63,70.8,76,8,59.8,64
13,70,74.8,78,10,66.5,61
29,88,92.8,96,7,83.6,72
25,76,83.2,88,6,72.2,66
19,95,72.8,58,10,90.2,69
20,72,82.8,90,8,68.4,65
21,60,61.2,62,9,57.0,64
8,72,72.0,72,5,68.4,62
19,83,79.4,77,8,78.8,66
16,75,81.6,86,5,71.2,62
14,81,67.2,58,5,77.0,66
18,95,70.4,54,8,90.2,70
31,96,94.2,93,8,91.2,75
24,71,83.0,91,6,67.4,67
17,78,76.8,76,9,74.1,66
23,82,82.6,83,6,77.9,71
28,98,90.8,86,7,93.1,75
26,100,84.4,74,7,95.0,72
20,69,65.4,63,7,65.6,64
16,89,80.0,74,9,84.6,65
24,75,88.8,98,5,71.2,67
22,60,79.2,92,6,57.0,63
25,60,67.8,73,5,57.0,62
24,78,67.8,61,10,74.1,69
26,80,88.4,94,7,76.0,70
17,61,73.6,82,6,58.0,63
28,87,76.8,70,7,82.6,71
21,72,62.4,56,8,68.4,63
32,82,85.6,88,8,77.9,71
16,72,68.4,66,6,68.4,63
30,67,74.8,80,6,63.6,68
21,76,77.2,78,5,72.2,65
16,69,78.6,85,7,65.6,66
17,81,78.6,77,9,77.0,66
18,68,76.4,82,6,64.6,66
23,80,64.4,54,8,76.0,65
23,66,76.2,83,6,62.7,66
17,87,70.8,60,5,82.6,67
20,90,78.0,70,8,85.5,68
33,64,71.2,76,10,60.8,68
30,79,82.0,84,8,75.0,69
23,63,77.4,87,6,59.8,64
20,84,84.6,85,6,79.8,67
21,71,61.4,55,10,67.4,63
24,81,73.8,69,7,77.0,67
14,81,70.8,64,6,77.0,64
18,97,80.8,70,7,92.1,66
10,82,82.0,82,7,77.9,65
22,83,69.2,60,8,78.8,68
24,76,75.4,75,9,72.2,66
17,98,95.6,94,9,93.1,71
29,91,88.6,87,7,86.4,74
13,71,80.0,86,7,67.4,65
11,94,92.8,92,8,89.3,68
21,77,72.8,70,6,73.1,68
26,93,90.0,88,8,88.4,72
30,93,69.0,53,7,88.4,74
17,68,59.0,53,8,64.6,61
26,88,75.4,67,10,83.6,65
20,72,64.8,60,8,68.4,63
19,72,74.4,76,7,68.4,66
25,72,64.2,59,6,68.4,66
24,89,95.0,99,7,84.6,73
11,69,83.4,93,5,65.6,63
29,60,83.4,99,8,57.0,68
28,89,89.6,90,4,84.6,73
16,67,85.6,98,8,63.6,63
22,64,66.4,68,8,60.8,65
23,70,73.0,75,7,66.5,66
22,75,67.2,62,6,71.2,65
17,79,80.8,82,7,75.0,66
16,62,78.2,89,4,58.9,65
20,99,84.6,75,8,94.0,70
27,89,74.6,65,7,84.6,70
23,73,74.2,75,9,69.4,68
18,73,61.0,53,8,69.4,64
25,78,82.8,86,7,74.1,68
3,85,77.8,73,8,80.8,62
27,66,83.4,95,6,62.7,68
10,68,84.8,96,6,64.6,61
18,94,71.2,56,7,89.3,69
13,70,88.0,100,7,66.5,65
12,75,88.8,98,6,71.2,65
27,95,86.6,81,7,90.2,72
17,87,89.4,91,7,82.6,70
22,74,60.2,51,10,70.3,65
20,87,94.2,99,7,82.6,69
23,61,68.2,73,6,58.0,65
20,89,92.6,95,7,84.6,69
12,79,73.0,69,9,75.0,65
26,93,90.6,89,9,88.4,72
17,98,81.8,71,10,93.1,70
11,97,79.6,68,7,92.1,64
17,96,96.6,97,8,91.2,67
29,80,83.0,85,5,76.0,69
25,74,84.8,92,6,70.3,70
18,79,77.8,77,5,75.0,65
18,88,92.8,96,8,83.6,69
18,95,90.2,87,7,90.2,74
32,68,59.6,54,7,64.6,66
22,97,91.6,88,6,92.1,72
23,93,67.8,51,8,88.4,67
26,99,94.2,91,4,94.0,75
21,95,78.2,67,7,90.2,70
18,71,76.4,80,7,67.4,63
19,64,77.8,87,4,60.8,65
20,64,74.8,82,8,60.8,64
20,72,79.2,84,7,68.4,65
24,85,91.0,95,8,80.8,70
20,92,78.2,69,10,87.4,67
24,96,84.6,77,7,91.2,67
20,85,69.4,59,8,80.8,68
20,60,67.8,73,9,57.0,65
8,67,61.6,58,8,63.6,61
25,64,74.8,82,6,60.8,63
22,75,69.6,66,5,71.2,80
26,80,87.8,93,8,76.0,69
3,62,65.0,67,6,58.9,55
33,74,68.0,64,9,70.3,70
19,67,71.8,75,6,63.6,65
27,86,69.8,59,7,81.7,68
14,79,67.6,60,5,75.0,64
24,80,85.4,89,6,76.0,69
14,77,75.8,75,6,73.1,89
16,98,75.2,60,6,93.1,67
31,69,58.8,52,7,65.6,92
19,81,76.2,73,6,77.0,67
21,89,87.8,87,10,84.6,70
25,82,73.6,68,8,77.9,68
23,97,76.0,62,9,92.1,70
21,75,72.0,70,7,71.2,67
22,79,90.4,98,7,75.0,69
34,64,68.2,71,6,60.8,67
20,84,71.4,63,10,79.8,69
21,72,75.6,78,7,68.4,63
26,66,81.0,91,6,62.7,69
27,82,63.4,51,6,77.9,66
27,81,79.2,78,8,77.0,68
24,63,80.4,92,9,59.8,69
13,88,71.8,61,9,83.6,66
30,85,91.6,96,6,80.8,72
13,68,74.6,79,6,64.6,62
22,79,77.2,76,9,75.0,67
15,89,94.4,98,10,84.6,67
20,81,66.0,56,7,77.0,67
22,76,82.6,87,9,72.2,65
22,73,83.8,91,5,69.4,67
23,84,78.0,74,6,79.8,66
30,98,69.2,50,5,93.1,70
23,87,80.4,76,8,82.6,71
19,63,60.0,58,7,59.8,64
26,78,78.0,78,7,74.1,69
27,96,90.6,87,9,91.2,72
13,64,71.8,77,6,60.8,60
24,100,89.2,82,7,95.0,71
24,98,72.2,55,5,93.1,71
18,63,58.2,55,9,59.8,66
28,97,94.6,93,9,92.1,74
19,75,61.2,52,8,71.2,64
21,94,76.0,64,7,89.3,68
19,77,89.0,97,6,73.1,66
20,78,75.0,73,5,74.1,65
13,85,84.4,84,7,80.8,64
11,91,73.0,61,8,86.4,65
30,61,62.8,64,10,58.0,69
15,84,78.6,75,6,79.8,68
14,67,76.0,82,7,63.6,62
7,74,88.4,98,9,70.3,63
16,74,77.0,79,9,70.3,65
12,79,64.6,55,6,75.0,62
30,73,70.0,68,7,69.4,67
26,64,62.8,62,6,60.8,64
16,66,64.2,63,6,62.7,61
34,61,69.4,75,9,58.0,65
26,79,71.2,66,7,75.0,67
18,98,77.6,64,7,93.1,70
5,65,84.8,98,7,61.8,59
34,98,86.6,79,7,93.1,75
12,89,73.4,63,7,84.6,67
10,85,72.4,64,6,80.8,64
26,86,89.0,91,9,81.7,72
35,93,93.6,94,6,88.4,76
28,64,76.0,84,6,60.8,69
23,80,75.2,72,7,76.0,65
24,88,88.0,88,10,83.6,72
25,83,91.4,97,6,78.8,69
25,93,72.0,58,8,88.4,71
22,63,81.0,93,7,59.8,64
21,88,90.4,92,7,83.6,74
20,81,73.2,68,8,77.0,68
15,75,69.0,65,4,71.2,66
18,74,76.4,78,6,70.3,65
10,85,72.4,64,8,80.8,67
19,96,72.6,57,7,91.2,69
14,80,90.8,98,7,76.0,66
13,93,82.2,75,8,88.4,69
21,76,74.8,74,6,72.2,67
28,64,59.2,56,9,60.8,64
26,62,69.8,75,8,58.9,67
11,62,77.0,87,7,58.9,61
14,75,67.2,62,8,71.2,61
26,73,70.0,68,9,69.4,68
14,89,71.0,59,6,84.6,66
19,90,76.8,68,8,85.5,66
23,62,80.6,93,10,58.9,68
14,69,64.8,62,8,65.6,63
21,71,59.0,51,7,67.4,66
12,82,79.0,77,10,77.9,66
16,66,73.8,79,7,62.7,66
22,65,65.6,66,9,61.8,65
10,98,88.4,82,6,93.1,69
23,92,68.0,52,9,87.4,71
20,67,67.0,67,6,63.6,66
23,76,64.6,57,7,72.2,66
21,74,66.2,61,6,70.3,65
28,92,78.2,69,10,87.4,71
21,80,77.0,75,7,76.0,69
17,65,59.0,55,5,61.8,61
21,90,69.0,55,7,85.5,70
23,76,80.8,84,8,72.2,70
20,71,70.4,70,7,67.4,65
20,75,65.4,59,6,71.2,64
16,80,69.2,62,9,76.0,68
16,74,81.2,86,9,70.3,63
12,70,59.8,53,5,66.5,63
30,76,75.4,75,6,72.2,71
13,61,65.2,68,7,58.0,58
16,91,91.0,91,6,86.4,68
16,67,80.8,90,8,63.6,65
25,62,75.2,84,10,58.9,65
18,86,75.8,69,6,81.7,68
27,91,85.6,82,9,86.4,69
16,93,86.4,82,5,88.4,71
22,80,72.2,67,8,76.0,65
15,68,83.6,94,6,64.6,64
33,89,95.0,99,8,84.6,75
13,88,74.8,66,4,83.6,67
22,70,82.0,90,5,66.5,68
24,96,83.4,75,8,91.2,72
22,64,69.4,73,6,60.8,67
19,99,81.0,69,7,94.0,72
19,94,76.6,65,10,89.3,69
20,88,92.8,96,7,83.6,68
19,98,91.4,87,8,93.1,70
26,89,78.8,72,6,84.6,69
33,68,80.0,88,5,64.6,67
17,78,82.8,86,7,74.1,63
12,63,63.0,63,5,59.8,61
19,76,65.8,59,6,72.2,66
35,90,91.2,92,7,85.5,73
15,75,84.6,91,7,71.2,67
30,73,89.2,100,8,69.4,72
30,84,64.2,51,8,79.8,69
17,95,84.2,77,5,90.2,69
23,62,75.8,85,6,58.9,63
30,75,77.4,79,4,71.2,67
18,66,78.0,86,6,62.7,63
19,88,69.4,57,8,83.6,66
17,64,55.6,50,9,60.8,62
14,87,67.8,55,7,82.6,68
16,71,69.8,69,9,67.4,65
13,68,66.8,66,8,64.6,59
20,97,95.2,94,7,92.1,72
15,61,56.8,54,6,58.0,63
21,78,74.4,72,4,74.1,68
11,61,83.2,98,9,58.0,61
22,79,76.6,75,7,75.0,65
25,80,66.2,57,9,76.0,68
8,73,68.2,65,6,69.4,61
22,65,74.6,81,10,61.8,63
27,75,60.6,51,7,71.2,67
13,87,93.6,98,6,82.6,66
30,91,83.2,78,7,86.4,75
23,81,83.4,85,7,77.0,68
16,84,78.6,75,7,79.8,65
20,68,86.0,98,6,64.6,64
23,71,75.8,79,4,67.4,67
20,66,76.2,83,6,62.7,64
23,70,83.8,93,9,66.5,67
14,69,83.4,93,6,65.6,63
21,81,63.0,51,4,77.0,67
12,83,71.6,64,5,78.8,65
19,98,76.4,62,7,93.1,70
15,68,57.2,50,6,64.6,62
16,86,90.8,94,7,81.7,69
27,93,76.8,66,6,88.4,70
27,82,73.0,67,9,77.9,68
24,70,61.0,55,8,66.5,68
13,71,87.8,99,10,67.4,64
18,62,79.4,91,6,58.9,63
27,72,76.2,79,7,68.4,68
21,90,89.4,89,9,85.5,67
34,62,78.2,89,8,58.9,68
22,69,77.4,83,6,65.6,66
21,88,70.6,59,8,83.6,67
18,91,88.0,86,8,86.4,69
21,78,78.0,78,4,74.1,68
19,88,86.8,86,6,83.6,70
24,76,76.6,77,7,72.2,68
26,66,85.2,98,9,62.7,66
15,76,79.0,81,8,72.2,67
12,83,80.6,79,6,78.8,65
9,98,94.4,92,6,93.1,67
23,63,66.6,69,8,59.8,63
13,80,71.6,66,4,76.0,64
7,73,74.2,75,6,69.4,64
22,80,79.4,79,9,76.0,66
35,61,61.0,61,7,58.0,68
20,73,79.6,84,6,69.4,67
25,93,91.2,90,5,88.4,72
20,82,80.2,79,8,77.9,67
19,78,76.8,76,7,74.1,66
26,71,67.4,65,7,67.4,66
18,72,85.8,95,8,68.4,67
22,75,82.8,88,7,71.2,65
22,93,81.6,74,7,88.4,70
16,99,89.4,83,5,94.0,69
26,78,71.4,67,5,74.1,69
19,76,62.2,53,8,72.2,66
15,94,73.6,60,8,89.3,66
23,77,63.2,54,8,73.1,67
15,82,77.8,75,6,77.9,67
20,69,76.2,81,8,65.6,67
20,90,77.4,69,6,85.5,72
27,81,78.6,77,9,77.0,68
23,92,69.2,54,6,87.4,70
20,91,89.2,88,6,86.4,69
25,69,58.8,52,7,65.6,65
28,89,84.8,82,8,84.6,72
23,92,80.0,72,7,87.4,69
20,74,65.0,59,7,70.3,68
12,67,72.4,76,6,63.6,62
14,60,77.4,89,7,57.0,60
18,78,73.8,71,7,74.1,67
16,74,70.4,68,6,70.3,67
19,82,67.0,57,7,77.9,67
20,68,75.2,80,7,64.6,63
23,94,92.2,91,10,89.3,71
20,70,74.8,78,6,66.5,66
23,69,62.4,58,6,65.6,65
20,79,81.4,83,7,75.0,69
8,80,63.2,52,6,76.0,63
14,69,82.8,92,5,65.6,64
19,71,86.0,96,5,67.4,67
13,67,74.8,80,6,63.6,62
24,89,92.0,94,6,84.6,68
29,91,68.8,54,5,86.4,71
27,78,67.8,61,7,74.1,66
19,89,75.2,66,4,84.6,69
29,89,89.0,89,8,84.6,71
21,66,70.8,74,6,62.7,66
18,99,79.8,67,6,94.0,72
16,93,72.0,58,8,88.4,70
18,68,81.8,91,8,64.6,65
18,67,57.4,51,6,63.6,64
21,65,66.2,67,8,61.8,63
21,66,63.6,62,9,62.7,63
20,90,69.6,56,5,85.5,66
23,79,67.0,59,8,75.0,68
27,91,81.4,75,5,86.4,74
26,90,78.6,71,9,85.5,71
11,84,79.2,76,6,79.8,67
5,87,86.4,86,6,82.6,66
26,61,81.4,95,9,58.0,67
12,72,62.4,56,8,68.4,62
19,86,66.8,54,6,81.7,68
13,60,63.6,66,7,57.0,62
9,61,70.6,77,6,58.0,82
23,94,70.6,55,5,89.3,70
25,87,86.4,86,7,82.6,72
17,71,75.2,78,6,67.4,64
4,88,87.4,87,6,83.6,66
17,92,77.6,68,9,87.4,68
22,72,70.8,70,6,68.4,64
11,61,78.4,90,7,58.0,61
21,97,76.6,63,9,92.1,69
20,74,71.0,69,7,70.3,68
23,64,56.2,51,6,60.8,64
21,80,78.8,78,7,76.0,67
14,91,92.2,93,8,86.4,67
27,69,58.2,51,8,65.6,65
19,71,77.0,81,10,67.4,68
20,70,83.2,92,6,66.5,67
14,100,85.0,75,7,95.0,67
17,68,66.8,66,5,64.6,64
15,83,93.2,100,8,78.8,70
19,97,70.6,53,7,92.1,69
30,66,63.0,61,7,62.7,66
12,99,96.0,94,6,94.0,69
10,98,78.2,65,6,93.1,66
29,95,92.6,91,7,90.2,73
19,69,67.8,67,6,65.6,66
16,85,88.6,91,7,80.8,69
26,90,86.4,84,7,85.5,70
16,99,83.4,73,5,94.0,71
31,67,72.4,76,5,63.6,70
24,91,71.8,59,6,86.4,69
17,74,63.2,56,9,70.3,63
33,67,78.4,86,6,63.6,71
16,77,86.0,92,7,73.1,67
24,92,88.4,86,5,87.4,73
22,79,89.2,96,6,75.0,68
28,82,89.8,95,5,77.9,69
29,100,93.4,89,8,95.0,76
20,76,87.4,95,5,72.2,68
15,85,68.8,58,8,80.8,65
23,75,82.2,87,8,71.2,66
16,76,83.2,88,7,72.2,65
32,88,70.0,58,8,83.6,69
21,98,96.2,95,10,93.1,71
18,82,62.8,50,8,77.9,66
21,91,79.6,72,5,86.4,69
12,64,56.2,51,9,60.8,59
14,68,72.8,76,7,64.6,65
27,80,74.6,71,10,76.0,72
16,61,73.0,81,6,58.0,60
14,70,80.8,88,9,66.5,64
23,81,85.2,88,7,77.0,69
27,61,76.0,86,10,58.0,70
24,71,61.4,55,7,67.4,67
26,81,75.0,71,10,77.0,67
15,83,87.8,91,8,78.8,64
11,97,88.6,83,8,92.1,68
29,86,84.8,84,10,81.7,72
18,77,67.4,61,6,73.1,65
18,97,78.4,66,8,92.1,70
28,91,95.2,98,7,86.4,75
23,68,82.4,92,7,64.6,65
23,65,60.8,58,7,61.8,63
33,87,81.0,77,8,82.6,71
16,82,77.8,75,8,77.9,66
26,92,80.0,72,6,87.4,69
20,90,80.4,74,7,85.5,68
22,85,83.2,82,4,80.8,71
29,99,98.4,98,8,94.0,77
23,81,88.8,94,10,77.0,70
23,65,82.4,94,7,61.8,66
26,93,88.2,85,5,88.4,73
18,70,58.6,51,8,66.5,62
15,91,79.6,72,6,86.4,65
14,98,84.8,76,7,93.1,71
8,88,90.4,92,8,83.6,66
32,84,91.2,96,8,79.8,72
13,78,75.0,73,9,74.1,64
19,75,69.0,65,7,71.2,63
18,74,69.8,67,7,70.3,63
22,85,81.4,79,8,80.8,72
25,90,74.4,64,7,85.5,71
25,87,92.4,96,6,82.6,72
17,68,69.8,71,8,64.6,65
19,80,92.0,100,5,76.0,67
22,92,69.8,55,7,87.4,68
19,79,67.0,59,5,75.0,66
30,81,78.0,76,6,77.0,72
23,91,92.2,93,6,86.4,71
24,86,75.2,68,6,81.7,70
24,76,85.6,92,9,72.2,68
27,96,81.0,71,9,91.2,72
21,67,82.6,93,9,63.6,66
12,100,78.4,64,7,95.0,69
22,65,70.4,74,6,61.8,65
16,61,62.8,64,8,58.0,62
17,96,75.0,61,7,91.2,69
24,70,70.6,71,7,66.5,65
27,89,75.8,67,4,84.6,69
20,92,90.2,89,8,87.4,69
22,94,89.8,87,8,89.3,73
30,100,80.8,68,7,95.0,75
21,72,88.8,100,8,68.4,70
36,88,94.6,99,8,83.6,74
23,65,83.6,96,6,61.8,65
9,76,77.8,79,7,72.2,63
25,94,80.2,71,5,89.3,74
22,75,69.6,66,9,71.2,67
28,84,64.2,51,8,79.8,71
24,80,81.2,82,6,76.0,68
19,86,81.2,78,8,81.7,69
13,99,88.2,81,7,94.0,71
19,62,72.2,79,6,58.9,66
15,83,67.4,57,7,78.8,65
17,95,89.0,85,8,90.2,66
24,79,72.4,68,8,75.0,65
30,63,70.8,76,10,59.8,67
22,82,73.6,68,7,77.9,70
13,73,59.8,51,7,69.4,63
23,66,82.8,94,8,62.7,64
27,94,71.8,57,7,89.3,71
16,81,79.8,79,6,77.0,68
19,97,95.2,94,6,92.1,72
20,92,73.4,61,4,87.4,71
15,88,77.8,71,8,83.6,64
24,60,65.4,69,5,57.0,64
19,77,63.2,54,6,73.1,66
23,68,69.8,71,7,64.6,68
15,96,82.8,74,7,91.2,68
17,67,57.4,51,10,63.6,65
24,71,72.8,74,5,67.4,67
18,81,65.4,55,10,77.0,64
30,71,85.4,95,9,67.4,70
18,68,77.0,83,8,64.6,65
21,84,65.4,53,9,79.8,65
26,64,80.2,91,8,60.8,68
11,62,65.6,68,4,58.9,61
9,75,66.6,61,8,71.2,63
11,89,73.4,63,5,84.6,65
28,82,80.8,80,6,77.9,69
17,77,63.2,54,7,73.1,64
35,83,65.0,53,6,78.8,69
17,75,78.6,81,8,71.2,67
21,97,98.2,99,7,92.1,74
29,62,69.2,74,8,58.9,66
32,87,77.4,71,7,82.6,72
32,96,96.6,97,7,91.2,73
27,92,74.0,62,6,87.4,73
26,67,64.0,62,5,63.6,63
24,72,85.8,95,7,68.4,69
25,89,84.8,82,6,84.6,71
17,63,57.0,53,9,59.8,63
15,92,87.2,84,5,87.4,69
20,89,90.2,91,10,84.6,72
19,89,74.0,64,7,84.6,68
17,64,67.0,69,7,60.8,62
24,89,71.6,60,6,84.6,68
26,87,84.0,82,8,82.6,71
21,93,87.0,83,7,88.4,67
29,62,56.6,53,7,58.9,65
13,61,74.8,84,8,58.0,60
19,75,79.8,83,8,71.2,68
16,66,57.6,52,9,62.7,59
9,82,79.6,78,8,77.9,64
20,97,87.4,81,6,92.1,71
19,76,73.6,72,4,72.2,68
29,94,94.6,95,7,89.3,70
24,60,63.6,66,7,57.0,62
14,67,58.6,53,10,63.6,62
31,61,74.8,84,7,58.0,68
27,73,77.2,80,8,69.4,68
23,96,97.8,99,8,91.2,74
19,64,62.8,62,8,60.8,61
14,84,75.6,70,8,79.8,67
18,78,75.0,73,6,74.1,65
27,98,95.0,93,6,93.1,101
31,65,68.6,71,7,61.8,65
29,68,80.6,89,4,64.6,67
17,61,59.2,58,7,58.0,61
13,77,72.8,70,6,73.1,64
21,71,63.2,58,7,67.4,64
9,95,96.2,97,7,90.2,67
22,84,69.0,59,5,79.8,69
19,85,76.6,71,9,80.8,69
17,81,64.8,54,7,77.0,67
10,64,83.2,96,8,60.8,62
23,78,79.8,81,7,74.1,66
17,100,98.8,98,8,95.0,72
13,93,68.4,52,5,88.4,67
3,96,73.8,59,9,91.2,66
20,93,78.6,69,8,88.4,67
31,64,74.2,81,7,60.8,67
30,69,67.2,66,7,65.6,68
17,60,75.6,86,9,57.0,63
16,72,63.6,58,6,68.4,62
23,64,73.6,80,5,60.8,65
14,79,73.6,70,6,75.0,65
